station id,station name,valid,količina padavin [mm],dež,nevihta,sneg,sodra,poledica,padavine,snežna odeja
_2855,LJUBLJANA - ŠENTVID,2022-12-03,2.1,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-12-04,8.9,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-12-05,7.2,da,da,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-12-06,23.2,ne,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-12-07,0,da,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-12-08,1.2,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-12-09,6.2,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-12-10,53.8,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-12-11,22.2,da,ne,da,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-12-12,6.2,ne,ne,da,ne,ne,da,da
_2855,LJUBLJANA - ŠENTVID,2022-12-13,0,ne,ne,ne,ne,ne,ne,da
_2855,LJUBLJANA - ŠENTVID,2022-12-14,0,ne,ne,ne,ne,ne,ne,da
_2855,LJUBLJANA - ŠENTVID,2022-12-15,0,da,ne,ne,ne,ne,ne,da
_2855,LJUBLJANA - ŠENTVID,2022-12-16,28.2,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-12-17,26.9,da,ne,ne,ne,ne,da,da
_2855,LJUBLJANA - ŠENTVID,2022-12-18,2.2,ne,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-12-19,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-12-20,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-12-21,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-12-22,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-12-23,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-12-24,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-12-25,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-12-26,0,da,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-12-27,0.3,ne,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-12-28,0,ne,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-12-29,0,da,ne,ne,ne,ne,ne,ne
_2855,LJUBLJANA - ŠENTVID,2022-12-30,1,da,ne,ne,ne,ne,da,ne
_2855,LJUBLJANA - ŠENTVID,2022-12-31,9.1,ne,ne,ne,ne,ne,da,ne
